<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:41.0921146" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
	ErrorCode = 0;
	EstimatedInstallTime = 0;
	EvaluationState = 1;
	FullName = "MS_VisioViewer2013_15.0.4420_Eng";
	Id = "ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/DeploymentType_a93cd46a-91cd-4339-9807-b2e109f29ec9";
	InstallState = "Installed";
	LastEvalTime = "20180921115857.000000+000";
	MaxExecuteTime = 60;
	Name = "MS_VisioViewer2013_15.0.4420_Eng";
	PercentComplete = 0;
	PostInstallAction = "BasedOnExitCode";
	RequiresUserInteraction = FALSE;
	ResolvedState = "Available";
	RetriesRemaining = 10;
	Revision = "2";
	SupersessionState = "None";
	Type = 1;
}};
	DeploymentReport = "<ConfigurationItemReport AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_bc18de5b-ffdb-406c-b4b3-eb991a7d7659\" Version=\"46\" Type=\"Deployment Type\" ComputerName=\"5CG60800TBC0FF\" CIComplianceState=\"NotInstalled\" CIDesiredState=\"Installed\" CIApplicablityState=\"Applicable\" CISeverity=\"None\" CIConfigureState=\"NotNeeded\" TotalConstraintViolations=\"0\" TotalModelViolations=\"0\" TotalSuppressionCount=\"0\" TotalEnforcements=\"0\" MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalDependancyViolations=\"0\" TotalSupersedesViolations=\"0\" TotalNonSupersedenceViolations=\"0\" TotalCompliantCount=\"11\" SupersessionState=\"None\" TotalRequirementsCount=\"0\" TotalDiscoveryViolations=\"0\"><CIProperties><Name>DLM_Mandatory_Applications_1.0_Eng</Name><Description/></CIProperties><NonSupersedenceViolations Count=\"0\"/><SupersedesViolations Count=\"0\"/><DependancyViolations Count=\"0\"/><RequirementViolations Count=\"0\"/><ConflictViolations Count=\"0\"/><CompliantRules Count=\"11\"><CompliantRule><RuleLogicalName>DTRule_a9be951b-0e2e-4ac7-b8ae-72eeca764c81</RuleLogicalName><RuleName>DTRule_a9be951b-0e2e-4ac7-b8ae-72eeca764c81</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_c672912e-6c91-4383-82d8-09cf5f794983\" Version=\"6\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_b05a3259-77c5-4ae2-9d83-fd016642ea47</RuleLogicalName><RuleName>DTRule_b05a3259-77c5-4ae2-9d83-fd016642ea47</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_de75a673-70b0-4da9-af6e-b5743031cbc7\" Version=\"4\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_721599af-8316-4d09-a5b9-147c2ea14637</RuleLogicalName><RuleName>DTRule_721599af-8316-4d09-a5b9-147c2ea14637</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_6fe04f6d-42f9-42de-bde9-6fe473a0a5ac\" Version=\"1\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_79a0e9e7-e01b-4a85-ae01-17a51ef78dac</RuleLogicalName><RuleName>DTRule_79a0e9e7-e01b-4a85-ae01-17a51ef78dac</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_e5f483a6-6af5-4ad2-bb75-b058182c0f99\" Version=\"2\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_91b596a7-eba3-4771-aeb0-29328fd60aa7</RuleLogicalName><RuleName>DTRule_91b596a7-eba3-4771-aeb0-29328fd60aa7</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_0db1460a-950d-4dca-95c9-099135e3d1d0\" Version=\"3\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_b28da981-8645-4dec-8921-9c0498cfc137</RuleLogicalName><RuleName>DTRule_b28da981-8645-4dec-8921-9c0498cfc137</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_92c922e4-cb7d-4e14-9f31-dc96367091eb\" Version=\"7\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_d593b85d-5ffe-4860-ad4e-69fd60defd21</RuleLogicalName><RuleName>DTRule_d593b85d-5ffe-4860-ad4e-69fd60defd21</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_586e07cc-8c9d-44b7-8b9e-518bc0ab2b47\" Version=\"5\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_726a12f9-0f48-4f39-acec-b70c318cc1a8</RuleLogicalName><RuleName>DTRule_726a12f9-0f48-4f39-acec-b70c318cc1a8</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_f8a9d09b-edf5-416e-80f7-8d47f533b823\" Version=\"3\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_7c92ec18-867d-4fb2-9a99-7fe834625cf8</RuleLogicalName><RuleName>DTRule_7c92ec18-867d-4fb2-9a99-7fe834625cf8</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_a93cd46a-91cd-4339-9807-b2e109f29ec9\" Version=\"2\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_7c71e881-980c-417d-af21-09358017bc15</RuleLogicalName><RuleName>DTRule_7c71e881-980c-417d-af21-09358017bc15</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_443635db-f582-4546-adb3-0833ed921f1c\" Version=\"3\"/></CompliantRule><CompliantRule><RuleLogicalName>NonSupersedence</RuleLogicalName><RuleName>NonSupersedence</RuleName><RuleDescription/></CompliantRule></CompliantRules><ModelViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><DiscoveryViolations SuppressedCount=\"0\" MaxSeverity=\"None\" Count=\"0\"/><ReferencedConfigurationItems MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalEnforcements=\"0\" TotalSuppressionCount=\"0\"><ConfigurationItemReport AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_0db1460a-950d-4dca-95c9-099135e3d1d0\" Version=\"3\" Type=\"Deployment Type\" ComputerName=\"5CG60800TBC0FF\" CIComplianceState=\"Installed\" CIDesiredState=\"Available\" CIApplicablityState=\"Applicable\" CISeverity=\"None\" CIConfigureState=\"NotNeeded\" TotalConstraintViolations=\"0\" TotalModelViolations=\"0\" TotalSuppressionCount=\"0\" TotalEnforcements=\"0\" MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalDependancyViolations=\"0\" TotalSupersedesViolations=\"0\" TotalNonSupersedenceViolations=\"0\" TotalCompliantCount=\"1\" SupersessionState=\"None\" TotalRequirementsCount=\"0\" TotalDiscoveryViolations=\"0\" Policy=\"Required\"><CIProperties><Name>MS_JunkEmailReportingAddin_10.2.110.0_Eng</Name><Description/></CIProperties><NonSupersedenceViolations Count=\"0\"/><SupersedesViolations Count=\"0\"/><DependancyViolations Count=\"0\"/><RequirementViolations Count=\"0\"/><ConflictViolations Count=\"0\"/><CompliantRules Count=\"1\"><CompliantRule><RuleLogicalName>NonSupersedence</RuleLogicalName><RuleName>NonSupersedence</RuleName><RuleDescription/></CompliantRule></CompliantRules><ModelViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><DiscoveryViolations SuppressedCount=\"0\" MaxSeverity=\"None\" Count=\"0\"/><ReferencedConfigurationItems MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalEnforcements=\"0\" TotalSuppressionCount=\"0\"/><BaseConfigurationItems/></ConfigurationItemReport><ConfigurationItemReport AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_92c922e4-cb7d-4e14-9f31-dc96367091eb\" Version=\"7\" Type=\"Deployment Type\" ComputerName=\"5CG60800TBC0FF\" CIComplianceState=\"Installed\" CIDesiredState=\"Available\" CIApplicablityState=\"Applicable\" CISeverity=\"None\" CIConfigureState=\"NotNeeded\" TotalConstraintViolations=\"0\" TotalModelViolations=\"0\" TotalSuppressionCount=\"0\" TotalEnforcements=\"0\" MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalDependancyViolations=\"0\" TotalSupersedesViolations=\"0\" TotalNonSupersedenceViolations=\"0\" TotalCompliantCount=\"2\" SupersessionState=\"None\" TotalRequirementsCount=\"0\" TotalDiscoveryViolations=\"0\" Policy=\"Required\"><CIProperties><Name>Flowscape_BirdsEyeA_1.1.4_Eng_x86</Name><Description/></CIProperties><NonSupersedenceViolations Count=\"0\"/><SupersedesViolations Count=\"0\"/><DependancyViolations Count=\"0\"/><RequirementViolations Count=\"0\"/><ConflictViolations Count=\"0\"/><CompliantRules Count=\"2\"><CompliantRule><RuleLogicalName>DTRule_b0ddb9d6-a7ad-450b-b1ad-116bbc53e526</RuleLogicalName><RuleName>DTRule_b0ddb9d6-a7ad-450b-b1ad-116bbc53e526</RuleName><RuleDescription/></CompliantRule><CompliantRule><RuleLogicalName>NonSupersedence</RuleLogicalName><RuleName>NonSupersedence</RuleName><RuleDescription/></CompliantRule></CompliantRules><ModelViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><DiscoveryViolations SuppressedCount=\"0\" MaxSeverity=\"None\" Count=\"0\"/><ReferencedConfigurationItems MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalEnforcements=\"0\" TotalSuppressionCount=\"0\"/><BaseConfigurationItems/></ConfigurationItemReport><ConfigurationItemReport AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_c672912e-6c91-4383-82d8-09cf5f794983\" Version=\"6\" Type=\"Deployment Type\" ComputerName=\"5CG60800TBC0FF\" CIComplianceState=\"Installed\" CIDesiredState=\"Available\" CIApplicablityState=\"Applicable\" CISeverity=\"None\" CIConfigureState=\"NotNeeded\" TotalConstraintViolations=\"0\" TotalModelViolations=\"0\" TotalSuppressionCount=\"0\" TotalEnforcements=\"0\" MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalDependancyViolations=\"0\" TotalSupersedesViolations=\"0\" TotalNonSupersedenceViolations=\"0\" TotalCompliantCount=\"2\" SupersessionState=\"None\" TotalRequirementsCount=\"0\" TotalDiscoveryViolations=\"0\" Policy=\"Required\"><CIProperties><Name>Adobe_FlashPlayerActiveX_19.0_Int</Name><Description/></CIProperties><NonSupersedenceViolations Count=\"0\"/><SupersedesViolations Count=\"0\"/><DependancyViolations Count=\"0\"/><RequirementViolations Count=\"0\"/><ConflictViolations Count=\"0\"/><CompliantRules Count=\"2\"><CompliantRule><RuleLogicalName>DTRule_35406fa6-a87c-4eb4-a49b-552f1630e1de</RuleLogicalName><RuleName>DTRule_35406fa6-a87c-4eb4-a49b-552f1630e1de</RuleName><RuleDescription/></CompliantRule><CompliantRule><RuleLogicalName>NonSupersedence</RuleLogicalName><RuleName>NonSupersedence</RuleName><RuleDescription/></CompliantRule></CompliantRules><ModelViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><DiscoveryViolations SuppressedCount=\"0\" MaxSeverity=\"None\" Count=\"0\"/><ReferencedConfigurationItems MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalEnforcements=\"0\" TotalSuppressionCount=\"0\"/><BaseConfigurationItems/></ConfigurationItemReport><ConfigurationItemReport AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_de75a673-70b0-4da9-af6e-b5743031cbc7\" Version=\"4\" Type=\"Deployment Type\" ComputerName=\"5CG60800TBC0FF\" CIComplianceState=\"Installed\" CIDesiredState=\"Available\" CIApplicablityState=\"Applicable\" CISeverity=\"None\" CIConfigureState=\"NotNeeded\" TotalConstraintViolations=\"0\" TotalModelViolations=\"0\" TotalSuppressionCount=\"0\" TotalEnforcements=\"0\" MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalDependancyViolations=\"0\" TotalSupersedesViolations=\"0\" TotalNonSupersedenceViolations=\"0\" TotalCompliantCount=\"2\" SupersessionState=\"None\" TotalRequirementsCount=\"0\" TotalDiscoveryViolations=\"0\" Policy=\"Required\"><CIProperties><Name>CGI_WAPClient_1.9.2.0_Eng</Name><Description/></CIProperties><NonSupersedenceViolations Count=\"0\"/><SupersedesViolations Count=\"0\"/><DependancyViolations Count=\"0\"/><RequirementViolations Count=\"0\"/><ConflictViolations Count=\"0\"/><CompliantRules Count=\"2\"><CompliantRule><RuleLogicalName>DTRule_0dd71893-0483-4b95-bf2b-8166b4d8f3cd</RuleLogicalName><RuleName>DTRule_0dd71893-0483-4b95-bf2b-8166b4d8f3cd</RuleName><RuleDescription/></CompliantRule><CompliantRule><RuleLogicalName>NonSupersedence</RuleLogicalName><RuleName>NonSupersedence</RuleName><RuleDescription/></CompliantRule></CompliantRules><ModelViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><DiscoveryViolations SuppressedCount=\"0\" MaxSeverity=\"None\" Count=\"0\"/><ReferencedConfigurationItems MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalEnforcements=\"0\" TotalSuppressionCount=\"0\"/><BaseConfigurationItems/></ConfigurationItemReport><ConfigurationItemReport AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_e5f483a6-6af5-4ad2-bb75-b058182c0f99\" Version=\"2\" Type=\"Deployment Type\" ComputerName=\"5CG60800TBC0FF\" CIComplianceState=\"Installed\" CIDesiredState=\"Available\" CIApplicablityState=\"Applicable\" CISeverity=\"None\" CIConfigureState=\"NotNeeded\" TotalConstraintViolations=\"0\" TotalModelViolations=\"0\" TotalSuppressionCount=\"0\" TotalEnforcements=\"0\" MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalDependancyViolations=\"0\" TotalSupersedesViolations=\"0\" TotalNonSupersedenceViolations=\"0\" TotalCompliantCount=\"1\" SupersessionState=\"None\" TotalRequirementsCount=\"0\" TotalDiscoveryViolations=\"0\" Policy=\"Required\"><CIProperties><Name>MS_OfficeProofingKit2013_15.0_Int</Name><Description/></CIProperties><NonSupersedenceViolations Count=\"0\"/><SupersedesViolations Count=\"0\"/><DependancyViolations Count=\"0\"/><RequirementViolations Count=\"0\"/><ConflictViolations Count=\"0\"/><CompliantRules Count=\"1\"><CompliantRule><RuleLogicalName>NonSupersedence</RuleLogicalName><RuleName>NonSupersedence</RuleName><RuleDescription/></CompliantRule></CompliantRules><ModelViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><DiscoveryViolations SuppressedCount=\"0\" MaxSeverity=\"None\" Count=\"0\"/><ReferencedConfigurationItems MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalEnforcements=\"0\" TotalSuppressionCount=\"0\"/><BaseConfigurationItems/></ConfigurationItemReport><ConfigurationItemReport AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_f8a9d09b-edf5-416e-80f7-8d47f533b823\" Version=\"3\" Type=\"Deployment Type\" ComputerName=\"5CG60800TBC0FF\" CIComplianceState=\"Installed\" CIDesiredState=\"Available\" CIApplicablityState=\"Applicable\" CISeverity=\"None\" CIConfigureState=\"NotNeeded\" TotalConstraintViolations=\"0\" TotalModelViolations=\"0\" TotalSuppressionCount=\"0\" TotalEnforcements=\"0\" MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalDependancyViolations=\"0\" TotalSupersedesViolations=\"0\" TotalNonSupersedenceViolations=\"0\" TotalCompliantCount=\"2\" SupersessionState=\"None\" TotalRequirementsCount=\"0\" TotalDiscoveryViolations=\"0\" Policy=\"Required\"><CIProperties><Name>Adobe_AcrobatReaderDC_15.0_Int</Name><Description/></CIProperties><NonSupersedenceViolations Count=\"0\"/><SupersedesViolations Count=\"0\"/><DependancyViolations Count=\"0\"/><RequirementViolations Count=\"0\"/><ConflictViolations Count=\"0\"/><CompliantRules Count=\"2\"><CompliantRule><RuleLogicalName>DTRule_eff80c3a-79fd-43fe-acb2-6525911e4609</RuleLogicalName><RuleName>DTRule_eff80c3a-79fd-43fe-acb2-6525911e4609</RuleName><RuleDescription/></CompliantRule><CompliantRule><RuleLogicalName>NonSupersedence</RuleLogicalName><RuleName>NonSupersedence</RuleName><RuleDescription/></CompliantRule></CompliantRules><ModelViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><DiscoveryViolations SuppressedCount=\"0\" MaxSeverity=\"None\" Count=\"0\"/><ReferencedConfigurationItems MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalEnforcements=\"0\" TotalSuppressionCount=\"0\"/><BaseConfigurationItems/></ConfigurationItemReport><ConfigurationItemReport AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_443635db-f582-4546-adb3-0833ed921f1c\" Version=\"3\" Type=\"Deployment Type\" ComputerName=\"5CG60800TBC0FF\" CIComplianceState=\"Installed\" CIDesiredState=\"Available\" CIApplicablityState=\"Applicable\" CISeverity=\"None\" CIConfigureState=\"NotNeeded\" TotalConstraintViolations=\"0\" TotalModelViolations=\"0\" TotalSuppressionCount=\"0\" TotalEnforcements=\"0\" MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalDependancyViolations=\"0\" TotalSupersedesViolations=\"0\" TotalNonSupersedenceViolations=\"0\" TotalCompliantCount=\"2\" SupersessionState=\"None\" TotalRequirementsCount=\"0\" TotalDiscoveryViolations=\"0\" Policy=\"Required\"><CIProperties><Name>Adobe_ShockwavePlayer_12.3.1.201_Eng</Name><Description/></CIProperties><NonSupersedenceViolations Count=\"0\"/><SupersedesViolations Count=\"0\"/><DependancyViolations Count=\"0\"/><RequirementViolations Count=\"0\"/><ConflictViolations Count=\"0\"/><CompliantRules Count=\"2\"><CompliantRule><RuleLogicalName>DTRule_9eade4ea-2076-49b2-ba45-fed14589dc91</RuleLogicalName><RuleName>DTRule_9eade4ea-2076-49b2-ba45-fed14589dc91</RuleName><RuleDescription/></CompliantRule><CompliantRule><RuleLogicalName>NonSupersedence</RuleLogicalName><RuleName>NonSupersedence</RuleName><RuleDescription/></CompliantRule></CompliantRules><ModelViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><DiscoveryViolations SuppressedCount=\"0\" MaxSeverity=\"None\" Count=\"0\"/><ReferencedConfigurationItems MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalEnforcements=\"0\" TotalSuppressionCount=\"0\"/><BaseConfigurationItems/></ConfigurationItemReport><ConfigurationItemReport AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_586e07cc-8c9d-44b7-8b9e-518bc0ab2b47\" Version=\"5\" Type=\"Deployment Type\" ComputerName=\"5CG60800TBC0FF\" CIComplianceState=\"Installed\" CIDesiredState=\"Available\" CIApplicablityState=\"Applicable\" CISeverity=\"None\" CIConfigureState=\"NotNeeded\" TotalConstraintViolations=\"0\" TotalModelViolations=\"0\" TotalSuppressionCount=\"0\" TotalEnforcements=\"0\" MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalDependancyViolations=\"0\" TotalSupersedesViolations=\"0\" TotalNonSupersedenceViolations=\"0\" TotalCompliantCount=\"2\" SupersessionState=\"None\" TotalRequirementsCount=\"0\" TotalDiscoveryViolations=\"0\" Policy=\"Required\"><CIProperties><Name>Oracle_Java8Update45_8.0.450_Eng</Name><Description/></CIProperties><NonSupersedenceViolations Count=\"0\"/><SupersedesViolations Count=\"0\"/><DependancyViolations Count=\"0\"/><RequirementViolations Count=\"0\"/><ConflictViolations Count=\"0\"/><CompliantRules Count=\"2\"><CompliantRule><RuleLogicalName>DTRule_71a1f9dc-5b0a-471a-b2a7-88e01ddecbbd</RuleLogicalName><RuleName>DTRule_71a1f9dc-5b0a-471a-b2a7-88e01ddecbbd</RuleName><RuleDescription/></CompliantRule><CompliantRule><RuleLogicalName>NonSupersedence</RuleLogicalName><RuleName>NonSupersedence</RuleName><RuleDescription/></CompliantRule></CompliantRules><ModelViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><DiscoveryViolations SuppressedCount=\"0\" MaxSeverity=\"None\" Count=\"0\"/><ReferencedConfigurationItems MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalEnforcements=\"0\" TotalSuppressionCount=\"0\"/><BaseConfigurationItems/></ConfigurationItemReport><ConfigurationItemReport AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_6fe04f6d-42f9-42de-bde9-6fe473a0a5ac\" Version=\"1\" Type=\"Deployment Type\" ComputerName=\"5CG60800TBC0FF\" CIComplianceState=\"Installed\" CIDesiredState=\"Available\" CIApplicablityState=\"Applicable\" CISeverity=\"None\" CIConfigureState=\"NotNeeded\" TotalConstraintViolations=\"0\" TotalModelViolations=\"0\" TotalSuppressionCount=\"0\" TotalEnforcements=\"0\" MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalDependancyViolations=\"0\" TotalSupersedesViolations=\"0\" TotalNonSupersedenceViolations=\"0\" TotalCompliantCount=\"1\" SupersessionState=\"None\" TotalRequirementsCount=\"0\" TotalDiscoveryViolations=\"0\" Policy=\"Required\"><CIProperties><Name>MS_OfficeProPlus2013SP1_15.0_Eng</Name><Description/></CIProperties><NonSupersedenceViolations Count=\"0\"/><SupersedesViolations Count=\"0\"/><DependancyViolations Count=\"0\"/><RequirementViolations Count=\"0\"/><ConflictViolations Count=\"0\"/><CompliantRules Count=\"1\"><CompliantRule><RuleLogicalName>NonSupersedence</RuleLogicalName><RuleName>NonSupersedence</RuleName><RuleDescription/></CompliantRule></CompliantRules><ModelViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><DiscoveryViolations SuppressedCount=\"0\" MaxSeverity=\"None\" Count=\"0\"/><ReferencedConfigurationItems MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalEnforcements=\"0\" TotalSuppressionCount=\"0\"/><BaseConfigurationItems/></ConfigurationItemReport><ConfigurationItemReport AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_a93cd46a-91cd-4339-9807-b2e109f29ec9\" Version=\"2\" Type=\"Deployment Type\" ComputerName=\"5CG60800TBC0FF\" CIComplianceState=\"Installed\" CIDesiredState=\"Available\" CIApplicablityState=\"Applicable\" CISeverity=\"None\" CIConfigureState=\"NotNeeded\" TotalConstraintViolations=\"0\" TotalModelViolations=\"0\" TotalSuppressionCount=\"0\" TotalEnforcements=\"0\" MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalDependancyViolations=\"0\" TotalSupersedesViolations=\"0\" TotalNonSupersedenceViolations=\"0\" TotalCompliantCount=\"1\" SupersessionState=\"None\" TotalRequirementsCount=\"0\" TotalDiscoveryViolations=\"0\" Policy=\"Required\"><CIProperties><Name>MS_VisioViewer2013_15.0.4420_Eng</Name><Description/></CIProperties><NonSupersedenceViolations Count=\"0\"/><SupersedesViolations Count=\"0\"/><DependancyViolations Count=\"0\"/><RequirementViolations Count=\"0\"/><ConflictViolations Count=\"0\"/><CompliantRules Count=\"1\"><CompliantRule><RuleLogicalName>NonSupersedence</RuleLogicalName><RuleName>NonSupersedence</RuleName><RuleDescription/></CompliantRule></CompliantRules><ModelViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><DiscoveryViolations SuppressedCount=\"0\" MaxSeverity=\"None\" Count=\"0\"/><ReferencedConfigurationItems MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalEnforcements=\"0\" TotalSuppressionCount=\"0\"/><BaseConfigurationItems/></ConfigurationItemReport></ReferencedConfigurationItems><BaseConfigurationItems/></ConfigurationItemReport>";
	ErrorCode = 2278556452;
	EstimatedInstallTime = 0;
	EvaluationState = 4;
	FullName = "DLM_Mandatory_Applications_1.0_Eng";
	Id = "ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/DeploymentType_bc18de5b-ffdb-406c-b4b3-eb991a7d7659";
	InstallState = "NotInstalled";
	LastEvalTime = "20180921115857.000000+000";
	MaxExecuteTime = 120;
	Name = "DLM_Mandatory_Applications_1.0_Eng";
	PercentComplete = 0;
	PostInstallAction = "BasedOnExitCode";
	RequiresUserInteraction = FALSE;
	ResolvedState = "Installed";
	RetriesRemaining = 10;
	Revision = "46";
	SupersessionState = "None";
	Type = 1;
}};
	ApplicabilityState = "Applicable";
	ConfigureState = "NotNeeded";
	Deadline = "20170216155000.000000+000";
